team,apps,wins,draws,losses,goals_for,goals_against,goal_diff,attendance
Liverpool,13,12,1,0,30,11,+19,"52,988"
Leicester City,13,9,2,2,31,8,+23,"32,040"
Manchester City,13,9,1,3,37,14,+23,"54,359"
Chelsea,13,8,2,3,28,19,+9,"40,591"
Wolves,13,4,7,2,18,16,+2,"31,101"
Sheffield Utd,13,4,6,3,16,12,+4,"30,995"
Burnley,13,5,3,5,20,18,+2,"20,523"
Arsenal,13,4,6,3,18,19,-1,"60,318"
Manchester Utd,13,4,5,4,19,15,+4,"73,543"
Tottenham,13,4,5,4,21,19,+2,"59,607"
Bournemouth,13,4,4,5,16,17,-1,"10,603"
Brighton,13,4,3,6,15,19,-4,"30,313"
Newcastle Utd,12,4,3,5,11,18,-7,"46,125"
Crystal Palace,13,4,3,6,11,18,-7,"25,349"
Everton,13,4,2,7,13,20,-7,"39,217"
West Ham,13,3,4,6,16,23,-7,"59,912"
Aston Villa,12,3,2,7,17,20,-3,"41,696"
Norwich City,13,3,1,9,13,28,-15,"27,059"
Southampton,13,2,3,8,13,31,-18,"30,395"
